UniqueReferenceNumber(URN),IncidentDate,IncidentCategory,ProductType,ProductOriginCountry ,NotifierType
ICID00030197,2017-07-13,Chemical Contamination (other),Nuts / Nut Products / Seeds,China (CX),Local Authority
ICID00030198,2017-07-13,Foreign Bodies,Prepared Dishes & Snacks,India (IN),Food Standards Scotland (FSS)
ICID00030199,2017-07-12,Chemical Contamination (other),Prepared Dishes & Snacks,United Kingdom (GB),Local Authority
ICID00030200,2017-07-13,Poor or Insufficient Controls,Herbs & Spices,India (IN),Border Inspection Posts (BIPs)
ICID00030201,2017-07-13,Poor or Insufficient Controls,Fruits & Vegetables,Islamic Republic of Iran (IR),Border Inspection Posts (BIPs)
ICID00030202,2017-07-13,Allergens,Cereals & Bakery Products,United Kingdom (GB),Local Authority
ICID00030203,2017-07-13,Allergens,Other Food Product / Mixed,United Kingdom (GB),Industry
ICID00030204,2017-07-13,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030205,2017-07-13,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs)
ICID00030206,2017-07-14,Foreign Bodies,Milk & Milk Products,United Kingdom (GB),General Public
ICID00030207,2017-07-14,Foregin Bodies,Poultry Meat & Poultry Meat Products,United Kingdom (GB),General Public
ICID00030208,2017-07-14,Foreign Bodies,Confectionary,United Kingdom (GB),General Public
ICID00030209,2017-07-14,Allergens,Cereals & Bakery Products,United Kingdom (GB),Industry
ICID00030210,2017-07-14,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030211,2017-07-15,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force
ICID00030212,2017-07-15,Clandestine Detection,Non-Alcoholic Beverages ,Poland (PL),Home Office / Border Force
ICID00030213,2017-07-14,Poor or Insufficient Controls,Pet Food,India (IN),Border Inspection Posts (BIPs)
ICID00030214,2017-07-15,CHEMET,N/A,United Kingdom (GB),Industry
ICID00030215,2017-07-17,Poor or Insufficient Controls,Fruits & Vegetables,Nigeria (NG),Border Inspection Posts (BIPs)
ICID00030216,2017-07-17,Poor or Insufficient Controls,Pet Food,India (IN),Border Inspection Posts (BIPs)
ICID00030217,2017-07-17,Pathogenic Micro-Organisms,Herbs & Spices,India (IN),Border Inspection Posts (BIPs)
ICID00030218,2017-07-17,Pathogenic Micro-Organisms,Confectionary,United Kingdom (GB),Industry
ICID00030219,2017-07-17,Pathogenic Micro-Organisms,Herbs & Spices,India (IN),Border Inspection Posts (BIPs)
ICID00030220,2017-07-17,Pathogenic Micro-Organisms,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00030221,2017-07-17,Pathogenic Micro-Organisms,Herbs & Spices,United Kingdom (GB),RASFF
ICID00030223,2017-07-06,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00030224,2017-07-17,CHEMET,N/A,United Kingdom (GB),Local Authority
ICID00030225,2017-07-14,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00030226,2017-07-18,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),Poland (PL),Local Authority
ICID00030227,2017-07-18,Clandestine Detection,Milk & Milk Products,France (FR),Home Office / Border Force
ICID00030228,2017-07-18,Poor or Insufficient Controls,Fish & Fish Products,South Africa (ZA),Border Inspection Posts (BIPs)
ICID00030229,2017-07-15,Foreign Bodies,Meat & Meat Products (other than poultry),United Kingdom (GB),General Public
ICID00030230,2017-07-19,Mycotoxins,Nuts / Nut Products / Seeds,China (CX),Border Inspection Posts (BIPs)
ICID00030231,2017-07-18,Mycotoxins,Nuts / Nut Products / Seeds,China (CX),Border Inspection Posts (BIPs)
