UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory ,ProductType,ProductOriginCountry,NotifierType
ICID00030647,2017-09-18,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),RASFF
ICID00030648,2017-09-18,Allergens,Milk & Milk Products,France (FR),RASFF
ICID00030649,2017-09-18,Chemical Contamination (other),Poultry Meat & Poultry Meat Products,Spain (ES),RASFF
ICID00030650,2017-09-18,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force
ICID00030651,2017-09-18,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030652,2017-09-19,Clandestine Detection,Milk & Milk Products,France (FR),Home Office / Border Force
ICID00030653,2017-09-18,Allergens,Alcoholic Beverages,United Kingdom (GB),Local Authority
ICID00030654,2017-09-18,Allergens,Alcoholic Beverages,United Kingdom (GB),Local Authority
ICID00030655,2017-09-19,Clandestine Detection,Other Food Product / Mixed,France (FR),Home Office / Border Force
ICID00030656,2017-09-19,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030657,2017-09-19,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs)
ICID00030658,2017-09-19,Foreign Bodies ,Fruits & Vegetables,United Kingdom (GB),EU Member States
ICID00030660,2017-09-19,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),RASFF
ICID00030661,2017-09-19,Pathogenic Micro-Organisms,Fruits & Vegetables,Bangladesh (BD),Local Authority
ICID00030662,2017-09-19,Poor or Insufficient Controls,Egg & Egg Products,United States (US),Local Authority
ICID00030663,2017-09-20,Clandestine Detection,Prepared Dishes & Snacks,Romania (RO),Home Office / Border Force
ICID00030664,2017-09-20,Pathogenic Micro-Organisms,Meat and Meat Products (other than poultry),United Kingdom (GB),Industry
ICID00030665,2017-09-20,Allergens,Soups / Broths / Sauces & Condiments,United Kingdom (GB),Local Authority
ICID00030666,2017-09-20,Pathogenic Micro-Organisms,Pet Food,United Kingdom (GB),Animal and Plant Health Agency (APHA)
